frame_id;timestamp;eye1_angle;eye2_angle;eye1_y;eye2_y;tail_angle;tail_x;tail_y;okr_active;okr_speed;okr_direction;okr_frequency;okr_pattern;valid;error
7;19213.916796;94.49311828613281;96.2280044555664;416.9381217956543;119.54243087768555;2.240162896311483;188;303;False;0;1;2;Lines;True;NaN
8;19213.9219286;94.3779067993164;96.2548599243164;417.3312339782715;119.4700813293457;2.240162896311483;188;303;False;0;1;2;Lines;True;NaN
9;19213.9271884;94.67285919189453;96.3058853149414;417.2466735839844;119.49129486083984;2.240162896311483;188;303;False;0;1;2;Lines;True;NaN
10;19213.9322651;95.12722778320312;96.18714904785156;416.31360626220703;119.4538803100586;1.9864507086157592;188;301;False;0;1;2;Lines;True;NaN
11;19213.9370305;93.79690551757812;95.57616424560547;416.37733459472656;119.3376350402832;2.240162896311483;188;303;False;0;1;2;Lines;True;NaN
12;19213.9420769;94.98793029785156;96.1841812133789;417.16455841064453;119.56885528564453;2.240162896311483;188;303;False;0;1;2;Lines;True;NaN
13;19213.9472583;93.97103881835938;96.21915435791016;416.3654556274414;119.59727096557617;2.240162896311483;188;303;False;0;1;2;Lines;True;NaN
14;19213.9522842;94.52754211425781;96.36717987060547;417.0565605163574;119.50878143310547;2.240162896311483;188;303;False;0;1;2;Lines;True;NaN
15;19213.9573393;94.70986938476562;96.43216705322266;417.2878303527832;119.51977920532227;2.240162896311483;188;303;False;0;1;2;Lines;True;NaN
16;19213.9628184;94.66822052001953;96.23491668701172;416.72376251220703;119.46162414550781;2.240162896311483;188;303;False;0;1;2;Lines;True;NaN
17;19213.9673966;95.43746185302734;95.63639831542969;417.2841110229492;120.19075775146484;2.240162896311483;188;303;False;0;1;2;Lines;True;NaN
18;19213.9725355;94.21438598632812;96.02342987060547;417.59009552001953;119.43280410766602;2.3669866593660784;188;304;False;0;1;2;Lines;True;NaN
19;19213.9779497;94.05438232421875;95.73799133300781;417.2020568847656;119.34122848510742;2.3669866593660784;188;304;False;0;1;2;Lines;True;NaN
20;19213.9828444;94.20280456542969;96.94884490966797;417.54190826416016;119.64413452148438;2.240162896311483;188;303;False;0;1;2;Lines;True;NaN
21;19213.9876766;94.10075378417969;95.7795181274414;416.7490005493164;119.27886199951172;2.3669866593660784;188;304;False;0;1;2;Lines;True;NaN
22;19213.9927324;94.7682113647461;96.5372314453125;416.65692138671875;119.64117813110352;2.3669866593660784;188;304;False;0;1;2;Lines;True;NaN
23;19213.9979671;94.0146484375;95.83515167236328;416.67880630493164;119.44001388549805;2.3669866593660784;188;304;False;0;1;2;Lines;True;NaN
24;19214.002896;94.13207244873047;95.2378158569336;417.23767471313477;119.29288864135742;2.3669866593660784;188;304;False;0;1;2;Lines;True;NaN
25;19214.0087148;93.7825698852539;95.99224090576172;417.5874443054199;120.10950088500977;2.3669866593660784;188;304;False;0;1;2;Lines;True;NaN
26;19214.0130815;94.03722381591797;96.53211975097656;417.5323257446289;119.54055786132812;2.3669866593660784;188;304;False;0;1;2;Lines;True;NaN
27;19214.0181183;94.18231201171875;96.24444580078125;417.3060188293457;119.47777938842773;2.240162896311483;188;303;False;0;1;2;Lines;True;NaN
28;19214.0232179;94.34765625;96.17510223388672;416.73717880249023;119.49082946777344;2.240162896311483;188;303;False;0;1;2;Lines;True;NaN
29;19214.0283874;94.1148910522461;96.40088653564453;417.2015190124512;119.53977584838867;2.240162896311483;188;303;False;0;1;2;Lines;True;NaN
30;19214.0334211;94.97154998779297;96.17932891845703;416.5774345397949;119.52141189575195;2.240162896311483;188;303;False;0;1;2;Lines;True;NaN
31;19214.038483;94.1834945678711;96.22447204589844;417.45574951171875;119.48959732055664;2.240162896311483;188;303;False;0;1;2;Lines;True;NaN
32;19214.0435392;94.49201965332031;96.20458984375;416.67084884643555;119.52272033691406;2.240162896311483;188;303;False;0;1;2;Lines;True;NaN
33;19214.0486479;94.77657318115234;96.19434356689453;417.19107818603516;119.49627685546875;2.240162896311483;188;303;False;0;1;2;Lines;True;NaN
34;19214.0537864;94.73328399658203;96.2138671875;416.5797119140625;119.56845092773438;2.3669866593660784;188;304;False;0;1;2;Lines;True;NaN
35;19214.0590303;95.27212524414062;96.34978485107422;416.5504951477051;119.53185272216797;2.240162896311483;188;303;False;0;1;2;Lines;True;NaN
36;19214.0641975;94.32028198242188;96.26907348632812;417.46129608154297;119.44885635375977;2.240162896311483;188;303;False;0;1;2;Lines;True;NaN
37;19214.0699049;94.28868103027344;96.24087524414062;416.7235794067383;119.53921127319336;2.3669866593660784;188;304;False;0;1;2;Lines;True;NaN
38;19214.0744079;94.26925659179688;96.3934097290039;417.63788986206055;119.54465103149414;2.240162896311483;188;303;False;0;1;2;Lines;True;NaN
39;19214.0799405;95.43438720703125;95.63250732421875;416.68106842041016;119.30656433105469;2.240162896311483;188;303;False;0;1;2;Lines;True;NaN
40;19214.0844779;93.75499725341797;96.15787506103516;416.8576354980469;119.45072174072266;2.240162896311483;188;303;False;0;1;2;Lines;True;NaN
41;19214.0893729;93.57643127441406;95.60088348388672;417.23134994506836;119.25415802001953;2.240162896311483;188;303;False;0;1;2;Lines;True;NaN
42;19214.0946407;94.01881408691406;96.25337982177734;416.63186264038086;119.5556640625;2.240162896311483;188;303;False;0;1;2;Lines;True;NaN
43;19214.1004907;94.00330352783203;96.20628356933594;416.37463760375977;119.49259567260742;2.240162896311483;188;303;False;0;1;2;Lines;True;NaN
44;19214.1050309;95.0233383178711;96.38045501708984;416.5780029296875;119.58949279785156;2.240162896311483;188;303;False;0;1;2;Lines;True;NaN
45;19214.110396;94.22551727294922;96.36784362792969;416.741397857666;119.53894424438477;2.240162896311483;188;303;False;0;1;2;Lines;True;NaN
46;19214.1147838;94.67738342285156;96.33856201171875;416.62669372558594;119.4820785522461;2.240162896311483;188;303;False;0;1;2;Lines;True;NaN
47;19214.1196823;94.84228515625;95.93233489990234;417.41967010498047;119.38829803466797;2.3669866593660784;188;304;False;0;1;2;Lines;True;NaN
48;19214.1248971;94.00906372070312;95.75238037109375;416.7279853820801;119.36313247680664;1.6057393610483632;188;298;False;0;1;2;Lines;True;NaN
49;19214.129932;94.33416748046875;96.01457214355469;417.5489921569824;119.41793441772461;2.3669866593660784;188;304;False;0;1;2;Lines;True;NaN
50;19214.1350611;94.83180236816406;95.85372924804688;416.4610176086426;119.61805725097656;2.3669866593660784;188;304;False;0;1;2;Lines;True;NaN
51;19214.1401849;95.22270202636719;95.25054931640625;416.49769592285156;120.15664291381836;2.3669866593660784;188;304;False;0;1;2;Lines;True;NaN
52;19214.1452886;95.09603118896484;96.19513702392578;417.41730880737305;119.5407943725586;2.3669866593660784;188;304;False;0;1;2;Lines;True;NaN
53;19214.1512034;93.837158203125;96.08356475830078;416.958797454834;119.22150421142578;2.3669866593660784;188;304;False;0;1;2;Lines;True;NaN
54;19214.1552487;94.0531997680664;96.16151428222656;417.1106414794922;119.49431228637695;2.3669866593660784;188;304;False;0;1;2;Lines;True;NaN
55;19214.162746;94.91659545898438;95.95883178710938;416.6227226257324;119.56620025634766;2.240162896311483;188;303;False;0;1;2;Lines;True;NaN
56;19214.165727;94.61619567871094;96.69102478027344;417.5414733886719;119.7566909790039;2.240162896311483;188;303;False;0;1;2;Lines;True;NaN
57;19214.1728879;94.8230972290039;96.36492919921875;417.0746955871582;119.51622009277344;2.240162896311483;188;303;False;0;1;2;Lines;True;NaN
58;19214.1762806;95.00712585449219;96.15435791015625;416.6425552368164;119.5316276550293;2.240162896311483;188;303;False;0;1;2;Lines;True;NaN
59;19214.1814359;95.06838989257812;96.28395080566406;416.5603141784668;119.47949600219727;2.240162896311483;188;303;False;0;1;2;Lines;True;NaN
60;19214.187289;94.63816833496094;96.17903900146484;416.7363586425781;119.54704284667969;2.240162896311483;188;303;False;0;1;2;Lines;True;NaN
